name,ing_cal,ing_protein,ing_fat,ing_carbon,ing_vit_b1,ing_vit_b2,ing_vit_c,ing_salt
アマランサス　玄穀,343,12.7,6,64.9,0.04,0.14,0,0
あわ　精白粒,346,11.2,4.4,69.7,0.56,0.07,0,0
あわ　あわもち,210,5.1,1.3,45.3,0.08,0.01,0,0
えんばく　オートミール,350,13.7,5.7,69.1,0.2,0.08,0,0
おおむぎ　七分つき押麦,343,10.9,2.1,72.1,0.22,0.07,0,0
おおむぎ　押麦　乾,329,6.7,1.5,78.3,0.11,0.03,0,0
おおむぎ　押麦　めし,118,2.2,0.5,28.5,0.02,Tr,0,0
おおむぎ　米粒麦,333,7,2.1,76.2,0.19,0.05,0,0
おおむぎ　大麦めん　乾,343,12.9,1.7,68,0.21,0.04,0,2.8
おおむぎ　大麦めん　ゆで,121,4.8,0.6,24.3,0.04,0.01,0,0.2
おおむぎ　麦こがし,368,12.5,5,77.1,0.09,0.1,0,0
キヌア　玄穀,344,13.4,3.2,69,0.45,0.24,0,0.1
きび　精白粒,353,11.3,3.3,70.9,0.34,0.09,0,0
こむぎ　［玄穀］　国産　普通,329,10.8,3.1,72.1,0.41,0.09,0,0
こむぎ　［玄穀］　輸入　軟質,344,10.1,3.3,75.2,0.49,0.09,0,0
こむぎ　［玄穀］　輸入　硬質,332,13,3,69.4,0.35,0.09,0,0
こむぎ　［小麦粉］　薄力粉　1等,349,8.3,1.5,75.8,0.11,0.03,0,0
こむぎ　［小麦粉］　薄力粉　2等,345,9.3,1.9,74.3,0.21,0.04,0,0
こむぎ　［小麦粉］　中力粉　1等,337,9,1.6,75.1,0.1,0.03,0,0
こむぎ　［小麦粉］　中力粉　2等,346,9.7,1.8,74,0.22,0.04,0,0
こむぎ　［小麦粉］　強力粉　1等,337,11.8,1.5,71.7,0.09,0.04,0,0
こむぎ　［小麦粉］　強力粉　2等,343,12.6,1.7,70.6,0.13,0.04,0,0
こむぎ　［小麦粉］　強力粉　全粒粉,320,12.8,2.9,68.2,0.34,0.09,0,0
こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,335,10.1,1.9,73.6,0.21,0.03,Tr,3.7
こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,360,7.8,4,74.4,0.1,0.08,0,1
こむぎ　［小麦粉］　プレミックス粉　から揚げ用,311,10.2,1.2,70,0.15,0.07,0,9.7
こむぎ　［小麦粉］　プレミックス粉　天ぷら用,337,8.8,1.3,76.1,0.12,0.99,0,0.5
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,132,3.3,0.5,30.2,0.04,0.16,0,0.2
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,588,4.3,47.7,37,0.05,0.14,0,0.2
こむぎ　［パン類］　角形食パン　食パン,248,8.9,4.1,46.4,0.07,0.05,0,1.2
こむぎ　［パン類］　角形食パン　焼き,269,9.7,4.5,50.6,0.07,0.05,0,1.3
こむぎ　［パン類］　角形食パン　耳を除いたもの,226,8.2,3.7,42.6,0.06,0.05,0,1.1
こむぎ　［パン類］　角形食パン　耳,273,-9.7,-4.5,-50.8,-0.06,-0.06,(Tr),-1.3
こむぎ　［パン類］　食パン　リーンタイプ,246,-8,-3.7,-47.5,-0.1,-0.05,0,-1.3
こむぎ　［パン類］　食パン　リッチタイプ,256,-7.8,-6,-45.6,-0.09,-0.09,0,-1.1
こむぎ　［パン類］　山形食パン　食パン,246,-7.8,-3.5,-47.9,-0.08,-0.06,0,-1.3
こむぎ　［パン類］　コッペパン,259,8.5,3.8,49.1,0.08,0.08,0,1.3
